"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"  17";"  34";" 50.00";"   5.53";"processar";" 1.873312e-02"
"  17";"  34";" 50.00";"   5.53";"inviabilizar";" 1.873312e-02"
"  12";"  22";" 54.55";"   5.52";"anotação";" 1.876058e-02"
"   8";"  13";" 61.54";"   5.52";"convincente";" 1.877412e-02"
"  52";" 127";" 40.94";"   5.51";"efetivamente";" 1.888309e-02"
"  59";" 147";" 40.14";"   5.36";"ofício";" 2.060512e-02"
"  14";"  27";" 51.85";"   5.30";"formal";" 2.133231e-02"
"  22";"  47";" 46.81";"   5.26";"subjetivo";" 2.187004e-02"
"   5";"   7";" 71.43";"   5.24";"eficiência";" 2.211482e-02"
"  11";"  20";" 55.00";"   5.22";"ordenar";" 2.233678e-02"
"  11";"  20";" 55.00";"   5.22";"metodologia";" 2.233678e-02"
"  11";"  20";" 55.00";"   5.22";"frisar";" 2.233678e-02"
"  20";"  42";" 47.62";"   5.20";"colhido";" 2.258985e-02"
"  20";"  42";" 47.62";"   5.20";"propiciar";" 2.258985e-02"
"  16";"  32";" 50.00";"   5.20";"suma";" 2.258025e-02"
"  16";"  32";" 50.00";"   5.20";"colega";" 2.258025e-02"
"  40";"  95";" 42.11";"   5.17";"alegar";" 2.302004e-02"
"  94";" 248";" 37.90";"   5.07";"possibilidade";" 2.427470e-02"
"  41";"  98";" 41.84";"   5.07";"entanto";" 2.435758e-02"
"  28";"  63";" 44.44";"   5.06";"fundo";" 2.443009e-02"
