"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"319";0;0;0;0;0;0;0;0;1
"320";0;0;0;0;0;0;0;0;1
"321";0;0;4;4;4;4;4;4;4
"322";0;0;0;0;0;0;0;0;1
"323";0;0;0;0;0;0;0;0;1
"324";0;0;0;0;0;0;0;0;1
"325";0;0;0;0;0;0;0;0;1
"326";0;0;0;0;0;0;0;0;1
"327";0;0;0;0;0;0;0;0;1
"328";0;0;4;4;4;4;4;4;4
"329";0;0;0;0;0;0;0;0;0
"330";0;0;0;0;0;0;0;0;0
"331";0;0;0;0;0;0;0;0;1
"332";0;0;0;0;0;0;0;0;1
"333";0;0;4;4;4;4;4;4;4
"334";0;0;0;0;0;0;0;0;1
"335";0;0;4;4;4;4;4;4;4
"336";0;0;4;4;4;4;4;4;4
"337";0;0;4;4;4;4;4;4;4
"338";0;0;0;0;0;3;3;3;3
"339";0;0;0;0;0;0;0;0;1
"340";0;0;4;4;4;4;4;4;4
"341";0;0;0;0;0;2;2;2;2
"342";0;0;4;4;4;4;4;4;4
"343";0;0;0;0;0;0;0;0;1
"344";0;0;0;0;0;0;0;0;1
"345";0;0;0;0;0;0;0;0;1
"346";0;0;0;0;0;2;2;2;2
"347";0;0;0;0;0;0;0;0;1
"348";0;0;4;4;4;4;4;4;4
"349";0;0;0;0;0;2;2;2;2
"350";0;0;0;0;0;2;2;2;2
"351";0;0;4;4;4;4;4;4;4
"352";0;0;0;0;0;0;0;0;1
"353";0;0;4;4;4;4;4;4;4
"354";0;0;4;4;4;4;4;4;4
"355";0;0;4;4;4;4;4;4;4
"356";0;0;0;0;0;2;2;2;2
"357";0;0;0;0;0;0;0;0;1
"358";0;0;4;4;4;4;4;4;4
"359";0;0;4;4;4;4;4;4;4
"360";0;0;4;4;4;4;4;4;4
"361";0;0;0;0;0;0;0;0;1
"362";0;0;4;4;4;4;4;4;4
"363";0;0;0;0;0;0;0;0;1
"364";0;0;0;0;0;0;0;0;1
"365";0;0;0;0;0;0;0;0;1
"366";0;0;4;4;4;4;4;4;4
"367";0;0;0;0;0;0;0;0;1
"368";0;0;4;4;4;4;4;4;4
"369";0;0;0;0;0;0;0;0;1
"370";0;0;4;4;4;4;4;4;4
"371";0;0;4;4;4;4;4;4;4
