nacional;6;78;26;20
quebra;105;5;4;21
mínimo;76;21;10;33
improcedência;112;3;1;30
vargas;0;2;0;2
judiciário;61;32;27;24
verdadeiro;44;61;13;28
sessão;37;17;9;21
robusto;69;6;6;54
evidenciar;44;35;10;37
dispositivo;50;24;10;61
violação;79;11;7;32
usar;2;37;48;13
torre;9;11;105;0
eleito;19;30;46;43
eduardo;10;8;97;0
constar;34;55;32;14
registrar;35;26;18;18
lá;11;6;105;6
iv;23;29;11;56
hacker;1;6;123;0
existir;36;35;47;22
controvérsia;98;16;4;21
competência;45;33;10;53
campanha_eleitoral;23;31;10;45
aberto;21;51;34;36
tv;4;132;3;4
policial;49;12;64;7
manipulação;4;70;54;14
pensar;89;20;16;13
nota;16;66;6;15
minuta;65;16;50;3
buscar;33;56;21;27
responsabilidade;49;23;26;39
requisito;44;10;4;80
posição;22;42;14;62
news;8;70;35;8
magistrado;106;9;18;6
hora;6;54;28;19
deferir;82;10;7;10
atividade;65;29;6;35
resposta;48;24;32;20
participar;21;36;62;10
lugar;27;56;25;19
avaliar;29;38;14;50
apto;46;24;2;63
apresentado;58;38;21;13
transcrever;47;39;13;22
relatoria;62;7;4;65
iii;38;36;21;28
formação;80;12;4;41
conexão;105;8;1;5
acusação;58;24;26;13
penal;74;5;7;33
crítica;11;84;6;33
comissão;9;7;100;3
prestação;63;7;1;21
precisar;26;21;55;25
justificar;81;21;5;29
entrevista;4;81;27;10
anderson;8;2;111;0
vontade;15;27;30;65
sequer;55;28;26;9
objetivo;78;25;3;28
repetir;27;21;79;3
relatar;36;18;37;25
audiência;28;58;41;0
apoiador;8;58;8;11
visar;33;30;4;41
sustentar;51;47;19;10
ordem;47;37;14;26
maria;40;12;32;24
indeferimento;114;1;2;6
grau;13;10;8;92
instrutor;1;6;6;0
fundamental;33;18;2;73
especialmente;34;61;7;20
fase;98;11;6;9
conduzir;64;22;20;22
ministério_público_eleitoral;38;8;21;35
luz;64;4;1;55
filho;18;10;23;47
autoria;96;5;16;17
alvorada;4;106;5;11
tomar;18;47;37;20
solução;55;10;17;6
estrutura;8;45;17;15
banho;28;2;5;43
apresentação;34;50;22;15
invasão;38;38;38;13
folha;22;6;5;11
fake;7;61;32;8
envio;13;5;24;5
demonstração;69;14;3;23
realidade;54;41;12;20
prefeito;2;12;20;65
ordinário;19;4;2;101
especificamente;36;41;9;23
doação;24;4;3;22
sede;51;11;19;29
jurisdicional;88;3;0;25
imputação;53;27;10;28
comprometer;19;30;4;67
citar;25;22;13;56
canal;2;96;3;5
beneficiar;16;28;9;66
benedito;36;11;14;16
atuar;20;67;9;21
reiterar;44;44;14;16
espaço;16;69;10;27
discutir;51;26;21;24
cópia;20;6;80;3
caracterização;9;5;2;111
principal;23;59;7;20
plenário;92;5;12;14
marketing;11;4;0;1
igualmente;46;22;6;38
cerceamento;108;1;0;15
apoio;6;76;13;16
tecnologia;9;38;39;9
ferramenta;8;67;0;26
consequência;52;9;9;51
autorizar;76;20;3;20
respectivo;41;8;16;25
programa;4;65;36;8
devidamente;61;19;10;7
cenário;38;52;8;23
sérgio;27;2;13;24
parlamentar;8;38;49;19
papel;23;39;42;13
obter;18;21;20;50
conceder;34;32;10;7
am4;3;3;0;0
servir;44;36;13;22
reportagem;10;18;7;2
oitiva;69;0;36;1
hoje;16;42;51;9
gonçalves;35;9;8;20
definir;48;17;17;36
criar;8;78;18;6
pt;7;26;20;8
executivo;13;53;36;11
conceito;16;12;9;86
regimental;48;1;0;64
litispendência;92;0;0;19
exercer;34;27;9;51
decreto;52;13;27;10
anterior;39;34;26;15
publicar;22;47;5;24
potencial;15;27;2;48
og;57;6;5;25
mg;10;1;1;101
igualdade;5;14;2;94
fixar;71;9;2;29
citado;36;34;7;18
veiculação;16;57;3;29
providência;61;16;21;8
privado;16;29;9;48
passado;14;49;44;5
compor;70;18;5;14
beneficiário;22;14;1;76
técnica;36;36;31;2
reforçar;27;51;3;34
pretender;64;26;10;16
emissor;5;78;5;27
discussão;49;22;17;23
critério;20;11;8;76
tão;51;29;20;16
maneira;26;44;24;18
ler;19;23;50;6
fux;19;2;2;93
evidente;23;53;9;26
equilíbrio;10;13;1;91
empresário;23;18;5;7
alegar;40;27;9;19
propósito;13;43;5;41
nunes;15;1;33;38
inverídico;6;71;2;19
fernando;8;60;5;20
xiv;8;4;4;98
item;53;18;10;5
haddad;3;68;9;9
ensejar;40;5;5;54
econômico;9;22;2;70
diálogo;13;79;4;12
dano;24;16;3;39
administrativo;10;16;32;50
parâmetro;42;10;4;50
narrado;76;6;4;21
imediato;61;17;11;19
falta;53;11;11;35
diferente;38;32;25;8
ações_de_investigação_judicial_eleitoral;70;4;2;25
tarcisio_vieira_de_carvalho_neto;40;2;4;22
seguro;38;13;4;36
restar;32;22;18;37
posto;65;12;7;20
jornal;9;34;14;23
evidência;31;35;8;33
corroborar;58;19;22;8
preciso;20;38;19;27
instância;43;5;17;23
inserir;30;64;4;10
gustavo;7;2;57;1
dirigir;14;66;15;11
transmitir;1;83;13;10
tampouco;39;24;9;21
multa;19;18;0;47
motivo;57;12;7;14
entanto;41;27;15;15
dispor;37;16;9;36
decidir;56;15;11;24
controlo;48;18;4;28
arts;46;2;0;57
marques;32;1;6;17
constante;55;38;6;4
barroso;0;1;89;6
unido;15;63;18;6
narrar;45;15;11;19
luciano_hang;24;6;5;4
fornecer;12;16;33;8
fiscal;64;11;3;4
exposição;11;54;4;37
conseguir;12;14;66;0
alto;12;41;9;46
alteração;25;22;19;34
técnico;9;38;52;1
ribeiro;2;3;3;15
requisição;50;9;25;6
quase;15;50;34;3
publicação;24;45;1;31
proteger;17;12;5;71
presença;25;46;13;18
negar;31;12;15;20
josé;4;11;13;19
isonomia;15;26;0;66
iniciativa;59;19;18;8
inequívoco;12;22;9;61
dito;13;42;30;11
continuar;12;18;46;26
bancário;67;5;1;2
prerrogativa;22;25;4;54
esclarecimento;44;16;34;3
campo;32;33;14;13
união;30;35;10;22
trabalhar;0;18;43;2
risco;23;55;13;11
logo;47;19;14;19
influenciar;12;22;2;69
incluir;21;44;6;22
fator;34;24;2;47
ódio;0;72;26;5
xvi;4;6;1;93
