"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"min";-1,54613968818157;-1,50481257492077;1,436613027805;-0,596486672490536;-0,580543046917111;0,55423228002108;0,481572400948022;0,308809479667729;0,209618119384248;0,0061630687277524;0,00583800385803309;0,00532082720268778;0,00257809878503772;1,1823712548244;0,00360418670141688
"próprio";0,790561103712055;-0,254627341942692;0,366891694262214;0,870679192108318;-0,280432122615662;0,40407371732752;0,848308448420536;0,0595737099696294;0,0921178416098351;0,00176285425781106;0,000182875529297022;0,000379683114800113;0,0028206261191972;0,455506392333907;0,000585240638162628
"pessoa";0,896838008404495;-0,193424396892038;-0,286292275438244;0,933146400102428;-0,20125516309561;-0,297882787859988;0,923474697471661;0,0290791132966285;0,0474461892317115;0,00186251003858278;8,66349469502853e-05;0,000189797230809604;0,00231563769738569;0,495264768186297;0,000567996265254534
"processo";-0,656600803570671;1,63901342577005;-0,450928693712601;-0,360311670523059;0,899413558797703;-0,247448480164524;0,183285788048312;0,77313024056703;0,0435839713846578;0,00118166562318216;0,00736303396090311;0,000557323716253039;0,00274089110522696;0,813903551559494;0,00181567313884841
"dje";-1,7964964040973;-1,68524016053601;1,63209894366401;-0,607980799675482;-0,570328812298823;0,552344451486367;0,497059079276121;0,296101477292797;0,206839443431082;0,00793454919534596;0,00698221395902861;0,00654881195431445;0,00245849626408237;1,35225400379104;0,00449558387349035
"ato";-0,59510409150288;-0,905104258346664;0,132660854415524;-0,545310769656066;-0,829372721151277;0,121560906163272;0,385953328889576;0,604376824489725;0,00966984662069757;0,000994215235920394;0,00229980894199373;4,9406048693665e-05;0,00280733695020216;0,508348410397125;0,000725466698566844
"aije";-1,07002114653485;0,390406550468593;0,152036063749198;-0,931165461603137;0,339743842406516;0,132306480053976;0,908845813462315;0,0819032902832169;0,00925089625446906;0,00270453219007691;0,000360032433131517;5,46010089393878e-05;0,00236214978886833;0,595639080268433;0,000838057471713971
"então";1,59634330973098;0,159555411915027;0,83174850365708;0,8833777050972;0,0882940986153462;0,460269467037416;0,874404477620854;0,00591349898027985;0,119682023398866;0,00688305074645621;6,87624682645575e-05;0,0018685831789752;0,00270102359824184;0,905953775624888;0,00221687117818978
"gravidade";-1,43768223169904;-0,820235980787944;0,893443817943635;-0,764339845371979;-0,436076226652034;0,474996974017375;0,706682470541842;0,155717638151409;0,137599891306749;0,00566523059850455;0,00184403607992042;0,00218789400244156;0,00274089110522696;0,907583674512924;0,00225769427652091
"mensagem";0,138223546951432;-0,69926461050954;-0,951397486713557;0,116271963501054;-0,588212870121994;-0,800303973454121;0,0236902911362446;0,410441340677043;0,565868368186712;2,53264777516124e-05;0,000648177314753676;0,00119987147351045;0,00132559460725522;0,476576653656514;0,000301076081879108
